actual_fra,actual_eng,predicted_eng
il plut sans arrêt,it rained nonstop,he will stop     
il décida de ne pas y aller,he decided not to go,he decided not to go   
cest une belle journée,its a nice day,its a fine day    
jai marché environ 1 mile,i walked about a mile,i walked about 1 mile   
je sais à peine nager,i can hardly swim,i can  swim    
je suis épouvantable en maths,im terrible at math,i safe math     
jaime chacune dentre elles,i like each of them,i like to of them   
je conte une histoire,i am telling a story,i have a story    
jai débarrassé la table,i cleared the table,i cleared the table    
tu triches,youre cheating,are you leaving     
bouge ,get lost,get away      
c’est pas une fête,this isnt a party,thats no a     
jaimerais des chaussures,id like some shoes,i like  shoes son   
ne me regardez pas ,dont look at me,dont look at me    
cétait évitable,it was preventable,it was close     
nous sommes toutes anéanties,were all devastated,were all      
tu te moques de moi ,are you mocking me,youre putting me     
ce nest pas un combat loyal,its not a fair fight,tom not a light off   
êtesvous des bacheliers ,are you bachelors,are you losing     
je suis étudiant en biologie,im a biology student,im a biology student    
la fête est lundi,the partys on monday,the partys is monday    
vous ne devez le dire à personne,you must tell no one,you must not to anyone   
quel âge astu ,whats your age,how old are you    
estu intéressée ,are you interested,are you interested     
cest une œuvre dart,its a work of art,shes a  charity    
je viens dêtre promue,i just got promoted,im just be promoted    
il retourna au japon,he returned to japan,he lives to     
tout le monde est là,everybodys here,everyone is here     
ne changez pas quoi que ce soit ,dont change a thing,dont forget that thing    
je dois entrer,i need to go in,i got to go    
ce crayon estil le vôtre ,is this pencil yours,is this pencil yours    
comment va ton boulot ,hows your job,hows your  job    
ne fais pas de grimaces ,dont make faces,dont open it finger    
cest tout ce que nous pouvons demander,thats all we can ask,thats all we can ask   
cette place est libre,this seats free,this is      
ça a été une semaine atroce,it was an awful week,it was a new week   
il est helvète,hes swiss,hes is      
ce sont des foutaises,this is hogwash,theyre babies      
je ne l’ai jamais dit à tom,i never told tom,i never told tom    
tom doit être excité,tom must be excited,tom must be friendly    
estu drogué ,are you on dope,are you      
regardez ces prix,look at these prices,look at the     
jai crocheté la serrure,i picked the lock,i shut the lock    
tu ne peux pas maccuser,you cant blame me,you cant fly     
jadore les bananes,i love bananas,i love fried     
de quelle difficulté cela peutil être ,how hard can that be,how can be     
jaime le miel,i like honey,i like french     
il ny a pas de sortie,theres no way out,theres no exit     
en avezvous un exemplaire ,do you have a copy,do you have a one   
dépêchetoi je te prie ,hurry up please,please hurry up     
qui a planté larbre ,who planted the tree,who planted the tree    
ça sera assez,thatll be enough,thatll be  enough    
va chercher ta mère ,get your mother,get your mother     
metstoi debout ,get on your feet,get up      
nous sommes stricts,were strict,were free      
je veux une augmentation,i want a raise,i want a raise    
ils sont très occupés,theyre very busy,theyre very busy     
fichez le camp ,get out,get away      
personne ne se trouvait dans la voiture,no one was in the car,no one was the car   
cest un peu branlant,its a bit wobbly,its a little     
ce nest pas une fête,this isnt a party,this not a     
jentends bien quelque chose,i do hear something,i hear something     
appellela demain,call her tomorrow,ill you tomorrow     
où sont les fourchettes ,where are the forks,where are catch     
cest une vieille douleur,its an old pain,shes an old girl    
jai entendu des détonations,i heard explosions,i heard gunshots     
je dois te quitter,i have to leave you,i must to leave you   
tu es cinglé,youre insane,youre wicked      
boisle ,drink it down,get it      
il a peu damis,he has few friends,he has few friends    
quelle idiote tu es ,youre such an idiot,what such an idiot    
tu es fort drôle,youre very funny,youre very funny     
quelle idée judicieuse ,what a smart idea,what a  idea    
quand êtesvous né ,when were you born,when did you born    
ne laissez pas tom faire cela,dont let tom do that,dont let tom that    
tu bois du vin ,do you drink wine,do you drink wine    
je ne lai vu quune fois,i only saw him once,i saw  him once   
tom gémissait,tom moaned,tom groaned moaning     
sur place ou à emporter ,for here or to go,here or  to go   
elle est très émotive,shes very emotional,shes very      
sois réaliste tu veux ,get real will you,just get yourself     
silteplaît danse avec tom,please dance with tom,you  with tom    
il est en colère après tout le monde,hes mad at everyone,hes angry safely everybody    
demande au policier,ask the policeman,keep the policeman     
elles en veulent davantage,they want more,they want more     
lâchemoi ,get off my back,get away of me    
traverse le marché,go through the market,cook the      
mon oncle tient un hôtel,my uncle runs a hotel,he  up a map   
je ne suis pas une enfant,im not a child,im not a child    
je nai pas de voiture,i dont have a car,i dont have a car   
il se cogna le genou,he banged his knee,he has a joker    
jai vu la voiture exploser,i saw the car explode,i saw the car    
puisje conduire je vous prie ,can i drive please,can i drive     
je ne peux pas men aller avec toi,i cant go with you,i cant go with you   
jai tant à dire,i have so much to say,i have to  tell   
baisse ta fenêtre ,roll down your window,get your  water    
et si je courais ,how about running,how about running     
tom ferma les yeux,tom closed his eyes,tom shut his eyes    
personne ne le sait,no one knows that,nobody knows      
tom déteste le français,tom hates french,tom hates french     
savezvous qui cest ,do you know who he is,did you      
il vaut mieux que tu y ailles,youd better go,better  go     
nous sommes âmessœurs,were soulmates,were soul mates     
êtesvous au travail ,are you at work,are you to work    
je me souviens de cette parole,i remember this word,i remember this word    
vous nêtes pas si vieux,youre not that old,youre not so old    
vous avez lair nerveuse,you sound nervous,you sound nervous     
y atil qui que ce soit làdedans ,is anybody in there,anybody anyone here     
cest mon tour maintenant,its now my turn,now its my turn    
je me sens comme un idiot,i feel like a fool,i feel like a fool   
jai entendu un bruit sourd,i heard a thud,i heard a  noise   
comment se sont passées tes vacances ,how was your holiday,how are your holiday    
je nai pas pu faire cela,i couldnt do that,i couldnt do that    
tout sest arrêté,everything stopped,everything stopped      
je ne peux pas partir maintenant,i cant leave now,i cant go now    
jai toujours dit non,i always said no,ive never said no    
nous suivrons tom,well follow tom,well tom      
jai crevé un pneu,i got a flat tire,i have a flat    
il est dans les affaires,he is in business,hes on the     
voilà votre bureau,heres your desk,here is your office    
il peut venir,he can come,he can come     
tout le monde peut y jouer,everyone can play,anyone can      
tom sest fait couper les cheveux,tom got his hair cut,tom has black     
jai eu une année difficile,ive had a tough year,i had a new once   
je pense quil viendra,i think hell come,i think he will come   
nous entendîmes un coup de feu,we heard a gunshot,we heard a gunshot    
le train est en avance,the train is early,the trains early     
voulezvous quelque chose ,do you want anything,do you want something    
merci à vous tous,thanks to all of you,thanks for all     
jappelle la sécurité,im calling security,im parked over     
il na pas dargent,he has no money,he has no money    
ce chien est un bâtard,this dog is a mongrel,this dog is big    
nous sommes en train de nous battre,were fighting,were fighting      
il y a des exceptions,there are exceptions,there is      
tom est debout,tom is standing,tom is awake     
le monde a changé,the world has changed,everyone has changed     
vous aviez promis,you made a promise,you better      
je ne sais pas chanter,i cant sing,i cant eat     
je travaille dans ma ferme,im a farmer,i work on my farm   
